City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Description
192,Inhambane,MZ,-23.865,35.3833,77.23,0,11.86,clear sky
193,Jamestown,US,42.097,-79.2353,70.05,0,9.22,light rain
194,Lapas,GR,38.1,21.4167,58.19,47,2.15,scattered clouds
195,Kudahuvadhoo,MV,2.6708,72.8944,84.09,99,14.03,overcast clouds
196,Iwanai,JP,42.9744,140.5089,35.28,100,5.23,overcast clouds
197,Upernavik,GL,72.7868,-56.1549,0.34,100,10.11,overcast clouds
198,Hays,US,30.0502,-98.0336,93.45,0,8.99,clear sky
199,Alta Floresta,BR,-9.8756,-56.0861,91.22,40,4.61,scattered clouds
200,Cockburn Town,TC,21.4612,-71.1419,78.76,75,17.27,broken clouds
201,Carahue,CL,-38.7,-73.1667,58.95,0,5.41,clear sky
202,Beringovskiy,RU,63.05,179.3167,25.7,100,9.6,snow
203,Port Elizabeth,ZA,-33.918,25.5701,63.1,20,12.66,few clouds
204,Hermanus,ZA,-34.4187,19.2345,63.81,100,8.99,light rain
205,Kostyantynivka,UA,48.5277,37.7069,38.88,100,6.13,overcast clouds
206,Hala,PK,25.8131,68.4227,78.78,1,8.08,clear sky
207,Tahoua,NE,14.8888,5.2692,92.88,29,7.29,scattered clouds
208,Nador,MA,35.174,-2.9287,62.85,0,17.27,clear sky
209,Tomarovka,RU,50.6834,36.2331,50.76,100,19.73,overcast clouds
210,Kapit,MY,2.0167,112.9333,71.85,96,0.76,overcast clouds
211,Sobolevo,RU,54.4299,31.8996,34.81,27,7.43,scattered clouds
212,Vila Velha,BR,-20.3297,-40.2925,84.15,0,12.66,clear sky
213,Portobelo,PA,9.55,-79.65,85.96,38,10.27,scattered clouds
214,Bontang,ID,0.1333,117.5,74.91,100,5.73,overcast clouds
215,Hwange,ZW,-18.3693,26.5019,69.98,36,2.55,scattered clouds
216,Sunrise Manor,US,36.2111,-115.0731,69.89,0,12.66,clear sky
217,Caravelas,BR,-17.7125,-39.2481,77.86,2,5.32,clear sky
218,Alice Springs,AU,-23.7,133.8833,69.22,0,5.75,clear sky
219,Kulhudhuffushi,MV,6.6221,73.07,83.26,100,6.85,overcast clouds
220,Paciran,ID,-6.8767,112.3761,77.77,69,6.02,broken clouds
221,Broome,US,42.2506,-75.833,75.45,69,1.99,broken clouds
222,Tallahassee,US,30.4383,-84.2807,79.86,100,5.01,overcast clouds
223,Pullman,US,46.7313,-117.1796,43.84,0,13.8,clear sky
224,Mahebourg,MU,-20.4081,57.7,79.25,75,13.8,broken clouds
225,Tari,NG,12.4086,4.4914,93.56,48,7.31,scattered clouds
226,Maposeni,TZ,-10.5833,35.4,64.53,96,2.33,light rain
227,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,20,16.06,few clouds
228,Grand Gaube,MU,-20.0064,57.6608,79.38,21,7.0,few clouds
229,Sari,IR,36.5633,53.0601,56.7,0,3.8,clear sky
230,Nantucket,US,41.2835,-70.0995,59.14,100,9.22,overcast clouds
231,Inverell,AU,-29.7833,151.1167,51.15,0,4.0,clear sky
232,Banes,CU,20.9625,-75.7186,81.37,41,16.78,scattered clouds
233,Mount Gambier,AU,-37.8333,140.7667,46.31,100,3.44,moderate rain
234,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,8,11.83,clear sky
235,Carutapera,BR,-1.195,-46.02,77.52,100,4.94,overcast clouds
236,Lavrentiya,RU,65.5833,-171.0,22.3,78,9.44,broken clouds
237,Bolshevik,BY,54.0065,27.5692,35.22,65,5.64,broken clouds
238,Paita,PE,-5.0892,-81.1144,73.38,29,19.01,scattered clouds
239,Ono,JP,34.85,134.9333,64.13,100,7.54,light rain
240,Sungai Petani,MY,5.647,100.4877,80.47,99,1.72,moderate rain
241,Homer,US,59.6425,-151.5483,42.67,0,5.75,clear sky
242,Pochutla,MX,15.7432,-96.4661,91.81,96,11.97,overcast clouds
243,Anadyr,RU,64.75,177.4833,27.1,20,24.61,light snow
244,Auki,SB,-8.7676,160.7034,80.82,11,3.56,few clouds
245,Hithadhoo,MV,-0.6,73.0833,83.39,100,10.54,overcast clouds
246,Ahipara,NZ,-35.1667,173.1667,63.86,82,13.22,light rain
247,Vao,NC,-22.6667,167.4833,75.24,0,3.11,clear sky
248,Barra Patuca,HN,15.8,-84.2833,83.84,29,14.14,scattered clouds
249,Tiksi,RU,71.6872,128.8694,-13.27,100,1.83,overcast clouds
250,Maumere,ID,-8.6199,122.2111,80.64,100,3.6,light rain
251,Margate,GB,51.3813,1.3862,53.69,0,3.0,clear sky
252,Bilma,NE,18.6853,12.9164,88.18,70,6.51,broken clouds
253,Mao,ES,39.8885,4.2658,55.96,75,12.66,broken clouds
254,Manturovo,RU,58.3353,44.7619,36.61,100,9.66,overcast clouds
255,Poum,NC,-20.2333,164.0167,76.8,5,6.8,clear sky
256,Chilca,PE,-12.5211,-76.7372,67.35,72,6.11,broken clouds
257,College,US,64.8569,-147.8028,42.22,75,1.01,broken clouds
258,Bhuj,IN,23.2667,69.6667,75.63,0,8.28,clear sky
259,Hobart,AU,-42.8794,147.3294,51.66,0,8.05,light rain
260,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,87.37,100,3.65,overcast clouds
261,Ciudad Bolivar,VE,8.1222,-63.5497,97.83,83,18.5,broken clouds
262,Harper,LR,4.375,-7.7169,79.23,100,9.06,light rain
263,Barrow,US,71.2906,-156.7887,-3.98,0,6.91,clear sky
264,Vanavara,RU,60.34,102.2797,32.18,100,14.67,overcast clouds
265,Bengkulu,ID,-3.8004,102.2655,75.7,68,3.76,broken clouds
266,Longyearbyen,SJ,78.2186,15.6401,17.44,75,5.75,broken clouds
267,Moa,CU,20.6569,-74.9403,81.23,34,13.62,scattered clouds
268,Nanortalik,GL,60.1432,-45.2371,37.96,100,3.69,overcast clouds
269,Gogrial,SS,8.5332,28.1004,89.82,95,6.64,overcast clouds
270,Susangerd,IR,31.5608,48.1831,76.44,7,15.46,clear sky
271,Quatre Cocos,MU,-20.2078,57.7625,79.09,46,20.29,light rain
272,Nyurba,RU,63.2842,118.3319,27.54,100,9.66,light snow
273,Taurianova,IT,38.3563,16.0109,55.62,100,8.16,overcast clouds
274,Misratah,LY,32.3754,15.0925,66.07,100,28.12,overcast clouds
275,Senges,BR,-24.1128,-49.4636,69.22,100,4.36,overcast clouds
276,Zhengjiatun,CN,43.5064,123.5064,45.14,99,9.24,overcast clouds
277,Mehamn,NO,71.0357,27.8492,26.55,0,11.5,clear sky
