City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
697,Pafos,CY,53.38,few clouds,34.7667,32.4167,Elysium Hotel
701,Imbituba,BR,74.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
704,Sibiti,CG,70.65,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
705,Palamos,ES,55,broken clouds,41.8484,3.1291,Hotel Rosamar
710,Chapadinha,BR,74.98,overcast clouds,-3.7417,-43.3603,Chapadinhense Hotel
713,Zhongshu,CN,57.2,clear sky,24.5167,103.7667,Xintianlong Hotel
714,Rafsanjan,IR,69.55,scattered clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
715,Tocopilla,CL,67.33,few clouds,-22.092,-70.1979,Hotel Galvarino
718,Hamilton,US,67.59,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
720,Kaeo,NZ,58.32,broken clouds,-35.1,173.7833,Bushido Lodge
723,Deniliquin,AU,55.02,clear sky,-35.5333,144.9667,Riviana Motel
726,Impfondo,CG,72.91,light rain,1.6381,18.0667,Auberge La Place de Jules
734,Tobol,KZ,52.75,broken clouds,52.6844,62.5794,Tobol Gostinitsa
736,Zhezkazgan,KZ,55.58,clear sky,47.8043,67.7144,Hotel Zumrat
738,Flinders,AU,59.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
739,Port Shepstone,ZA,69.82,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
740,Manjo,CM,71.83,heavy intensity rain,4.8428,9.8217,Hôtel la Grace
741,Kununurra,AU,73.38,light rain,-15.7667,128.7333,Hotel Kununurra
750,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,Antay Casino Hotel
752,Nanga Eboko,CM,68.94,overcast clouds,4.6833,12.3667,Motel Papi Palace
